time,windspeed
2010-01-01,0.0
2010-01-06,6.3
2010-01-07,26.1
2010-01-08,7.9
2010-01-11,0.8
2010-01-12,4.2
2010-01-13,6.2
2010-01-14,8.6
2010-01-15,0.2
2010-01-16,1.9
2010-01-17,1.7
2010-01-20,8.0
2010-01-21,2.2
2010-01-22,0.0
2010-01-24,0.8
2010-01-25,1.0
2010-01-26,1.6
2010-01-27,12.0
2010-01-28,0.5
2010-01-29,10.0
2010-01-30,1.2
2010-01-31,1.4
2010-02-01,21.9
2010-02-04,0.8
2010-02-06,0.0
2010-02-07,15.6
2010-02-08,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-13,13.8
2010-02-14,30.3
2010-02-16,0.0
2010-02-17,0.0
2010-02-19,9.9
2010-03-07,0.0
2010-03-16,0.0
2010-03-17,3.0
2010-03-18,16.8
2010-03-19,0.6
2010-03-21,1.0
2010-03-26,0.4
2010-03-27,4.5
2010-03-28,0.3
2010-03-29,0.0
2010-03-30,0.2
2010-04-01,1.8
2010-04-05,5.6
2010-04-06,13.1
2010-04-08,41.2
2010-04-09,0.0
2010-04-10,1.7
2010-04-11,6.2
2010-04-12,0.2
2010-04-13,6.5
2010-04-16,5.9
2010-04-17,6.3
2010-04-18,0.0
2010-04-19,0.5
2010-04-22,0.3
2010-04-23,10.9
2010-04-24,13.9
2010-04-25,5.7
2010-04-26,0.4
2010-04-27,10.0
2010-04-28,6.4
2010-04-29,6.5
2010-04-30,12.3
2010-05-04,0.6
2010-05-05,0.8
2010-05-06,37.1
2010-05-07,28.8
2010-05-08,5.8
2010-05-09,2.9
2010-05-10,22.5
2010-05-11,5.2
2010-05-13,4.5
2010-05-14,12.1
2010-05-15,1.5
2010-05-16,0.8
2010-05-17,7.8
2010-05-18,1.0
2010-05-19,0.0
2010-05-20,6.0
2010-05-21,9.3
2010-05-22,28.2
2010-05-23,20.0
2010-05-24,0.4
2010-05-25,0.0
2010-05-26,2.4
2010-05-27,1.8
2010-05-28,0.1
2010-05-30,0.5
2010-06-01,0.0
2010-06-02,2.3
2010-06-03,4.1
2010-06-04,6.6
2010-06-05,31.0
2010-06-06,3.1
2010-06-07,0.9
2010-06-10,0.0
2010-06-11,8.8
2010-06-12,1.6
2010-06-13,3.7
2010-06-14,2.2
2010-06-15,1.4
2010-06-16,12.4
2010-06-17,0.0
2010-06-18,1.5
2010-06-19,0.2
2010-06-20,16.9
2010-06-21,14.5
2010-06-22,2.4
2010-06-23,3.2
2010-06-24,3.1
2010-06-25,0.0
2010-06-26,0.0
2010-06-27,0.0
2010-06-28,4.7
2010-06-29,4.1
2010-06-30,0.5
2010-07-01,1.5
2010-07-03,0.6
2010-07-04,0.7
2010-07-05,7.4
2010-07-06,6.6
2010-07-07,1.2
2010-07-08,31.6
2010-07-10,0.2
2010-07-11,6.8
2010-07-12,0.0
2010-07-15,0.1
2010-07-16,1.0
2010-07-17,0.0
2010-07-18,4.2
2010-07-20,4.5
2010-07-21,21.6
2010-07-22,12.4
2010-07-23,34.2
2010-07-24,9.8
2010-07-25,17.2
2010-07-26,14.2
2010-07-28,2.9
2010-07-29,38.5
2010-07-30,11.6
2010-07-31,0.6
2010-08-01,2.0
2010-08-02,0.5
2010-08-03,10.8
2010-08-04,36.0
2010-08-05,1.3
2010-08-06,0.5
2010-08-07,8.0
2010-08-08,14.7
2010-08-09,7.7
2010-08-10,0.0
2010-08-11,16.7
2010-08-12,0.0
2010-08-13,0.0
2010-08-15,0.2
2010-08-16,3.1
2010-08-17,4.3
2010-08-18,0.5
2010-08-20,3.9
2010-08-21,9.1
2010-08-22,11.0
2010-08-24,7.4
2010-08-25,7.7
2010-08-31,7.9
2010-09-01,18.7
2010-09-02,48.0
2010-09-03,13.0
2010-09-04,16.8
2010-09-05,21.9
2010-09-07,0.0
2010-09-08,23.3
2010-09-09,0.0
2010-09-10,0.0
2010-09-11,2.7
2010-09-12,2.0
2010-09-13,5.4
2010-09-14,8.3
2010-09-15,42.8
2010-09-16,0.0
2010-09-17,0.0
2010-09-18,0.0
2010-09-19,0.0
2010-09-20,6.8
2010-09-21,0.0
2010-09-22,0.5
2010-09-23,0.0
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,4.8
2010-09-28,0.8
2010-09-29,0.0
2010-09-30,11.0
2010-10-01,26.5
2010-10-02,4.2
2010-10-05,16.0
2010-10-06,8.8
2010-10-09,0.4
2010-10-10,11.0
2010-10-11,0.9
2010-10-12,7.3
2010-10-13,0.8
2010-10-14,0.0
2010-10-15,13.8
2010-10-16,13.0
2010-10-17,1.0
2010-10-18,1.1
2010-10-19,3.5
2010-10-20,1.8
2010-10-21,7.0
2010-10-23,56.8
2010-10-24,35.0
2010-10-25,2.8
2010-10-28,24.5
2010-10-30,0.0
2010-10-31,9.4
2010-11-01,15.5
2010-11-02,15.3
2010-11-04,11.3
2010-11-05,0.5
2010-11-06,20.5
2010-11-07,5.6
2010-11-08,0.3
2010-11-12,1.5
2010-11-13,0.7
2010-11-16,4.1
2010-11-17,15.5
2010-11-18,4.1
2010-11-19,39.0
2010-11-21,10.0
2010-11-22,9.2
2010-11-23,0.5
2010-11-24,9.8
2010-11-25,9.0
2010-11-26,0.8
2010-11-27,8.0
2010-11-28,0.1
2010-11-29,7.1
2010-12-01,1.6
2010-12-02,1.4
2010-12-03,7.1
2010-12-04,0.8
2010-12-05,6.4
2010-12-06,8.1
2010-12-07,8.5
2010-12-08,3.2
2010-12-09,6.5
2010-12-10,40.5
2010-12-11,1.3
2010-12-12,30.0
2010-12-13,0.9
2010-12-14,0.5
2010-12-16,43.3
2010-12-17,1.4
2010-12-19,7.3
2010-12-20,0.5
2010-12-21,4.8
2010-12-22,43.8
2010-12-24,11.0
2010-12-25,21.0
2010-12-27,3.0
2010-12-30,11.3
2010-12-31,0.0
2011-01-01,2.5
2011-01-02,7.4
2011-01-03,2.2
2011-01-04,11.5
2011-01-05,1.8
2011-01-06,0.0
2011-01-09,3.0
2011-01-10,2.5
2011-01-12,5.1
2011-01-13,2.1
2011-01-14,20.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,6.7
2011-01-20,3.5
2011-01-23,1.4
2011-01-24,18.8
2011-01-25,3.5
2011-01-26,3.5
2011-01-27,4.8
2011-01-28,17.7
2011-01-29,4.0
2011-01-30,18.8
2011-01-31,11.4
2011-02-01,11.3
2011-02-02,10.7
2011-02-03,0.2
2011-02-04,32.8
2011-02-05,50.4
2011-02-06,38.2
2011-02-08,0.0
2011-02-09,41.8
2011-02-10,0.5
2011-02-12,0.2
2011-02-13,4.6
2011-02-14,7.5
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,70.4
2011-02-19,0.2
2011-02-20,7.5
2011-02-21,13.0
2011-02-22,91.0
2011-02-24,0.7
2011-02-25,3.5
2011-02-27,0.4
2011-03-02,10.9
2011-03-03,0.0
2011-03-04,0.3
2011-03-05,0.0
2011-03-10,21.5
2011-03-11,0.0
2011-03-13,1.0
2011-03-14,0.0
