time,windspeed
2010-01-01,0.0
2010-01-02,0.0
2010-01-06,15.9
2010-01-07,9.5
2010-01-08,13.1
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.3
2010-01-12,1.6
2010-01-13,0.0
2010-01-14,0.5
2010-01-15,1.5
2010-01-16,14.7
2010-01-18,0.0
2010-01-20,5.5
2010-01-21,1.0
2010-01-26,0.5
2010-01-27,6.1
2010-01-28,0.0
2010-01-29,32.5
2010-01-30,0.8
2010-01-31,1.0
2010-02-01,26.0
2010-02-02,0.0
2010-02-04,9.0
2010-02-05,0.0
2010-02-06,0.0
2010-02-07,15.3
2010-02-08,0.6
2010-02-10,0.6
2010-02-11,0.3
2010-02-12,0.5
2010-02-13,23.5
2010-02-14,3.3
2010-02-15,0.3
2010-02-18,1.3
2010-02-26,4.3
2010-03-08,0.0
2010-03-11,0.0
2010-03-14,0.0
2010-03-15,0.1
2010-03-17,9.1
2010-03-21,0.0
2010-03-23,35.6
2010-03-24,5.9
2010-03-26,0.0
2010-03-28,16.2
2010-03-29,3.1
2010-03-30,0.0
2010-03-31,0.4
2010-04-01,0.5
2010-04-02,1.3
2010-04-05,11.9
2010-04-06,9.3
2010-04-07,4.7
2010-04-08,1.9
2010-04-09,0.0
2010-04-10,0.0
2010-04-11,23.4
2010-04-12,77.2
2010-04-13,5.2
2010-04-14,6.7
2010-04-15,4.0
2010-04-16,2.8
2010-04-17,193.6
2010-04-18,44.3
2010-04-19,8.9
2010-04-23,1.5
2010-04-24,0.0
2010-04-25,1.4
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,8.0
2010-04-29,3.0
2010-04-30,20.2
2010-05-01,0.0
2010-05-02,1.2
2010-05-07,2.2
2010-05-09,0.0
2010-05-10,30.0
2010-05-11,3.0
2010-05-13,14.8
2010-05-14,61.2
2010-05-15,9.4
2010-05-16,15.0
2010-05-17,23.5
2010-05-18,7.3
2010-05-19,5.2
2010-05-21,0.0
2010-05-22,24.5
2010-05-23,0.2
2010-05-24,0.0
2010-05-26,22.7
2010-05-28,0.0
2010-05-29,0.0
2010-06-01,0.3
2010-06-02,1.6
2010-06-03,14.0
2010-06-04,109.3
2010-06-05,6.6
2010-06-06,30.2
2010-06-07,0.0
2010-06-09,0.0
2010-06-10,0.8
2010-06-11,50.3
2010-06-12,14.1
2010-06-13,2.8
2010-06-14,7.1
2010-06-15,0.0
2010-06-16,110.4
2010-06-17,0.3
2010-06-18,0.0
2010-06-20,16.5
